CustomerType,orderDate,grossSales,numberOfOrders
New Customer Order,2012-12-24,1204.116466,4
New Customer Order,2012-12-25,379.1164659,2
New Customer Order,2012-12-26,353.815261,5
New Customer Order,2012-12-27,2616.566265,17
New Customer Order,2012-12-28,2512.148594,14
New Customer Order,2012-12-29,1764.558233,11
New Customer Order,2012-12-30,442.4698795,3
New Customer Order,2012-12-31,2852.208835,7
New Customer Order,2013-01-01,910.7429719,6
New Customer Order,2013-01-02,881.746988,6
New Customer Order,2013-01-03,1774.899598,11
New Customer Order,2013-01-04,803.2128514,8
New Customer Order,2013-01-05,1860.542169,4
New Customer Order,2013-01-06,1139.457831,5
New Customer Order,2013-01-07,553.313253,6
New Customer Order,2013-01-08,3425.291165,20
New Customer Order,2013-01-09,1710.64257,10
New Customer Order,2013-01-10,1879.939759,14
New Customer Order,2013-01-11,1443.975904,12
New Customer Order,2013-01-12,980.7228916,5
New Customer Order,2013-01-13,890.3614458,5
New Customer Order,2013-01-14,365.4618474,4
New Customer Order,2013-01-15,2426.024096,17
New Customer Order,2013-01-16,670.7831325,5
New Customer Order,2013-01-17,1654.718876,11
New Customer Order,2013-01-18,1647.48996,10
New Customer Order,2013-01-19,652.5100402,6
New Customer Order,2013-01-20,3611.445783,29
New Customer Order,2013-01-21,2081.526104,12
New Customer Order,2013-01-22,1925.100402,11
New Customer Order,2013-01-23,1063.955823,6
New Customer Order,2013-01-24,1323.795181,11
New Customer Order,2013-01-25,2095.883534,13
New Customer Order,2013-01-26,1926.706827,11
New Customer Order,2013-01-27,2339.056225,19
New Customer Order,2013-01-28,1528.212851,12
New Customer Order,2013-01-29,2079.317269,16
New Customer Order,2013-01-30,1254.618474,9
New Customer Order,2013-01-31,648.7951807,6
New Customer Order,2013-02-01,4145.281124,23
New Customer Order,2013-02-02,1551.104418,9
New Customer Order,2013-02-03,895.1807229,10
New Customer Order,2013-02-04,764.9598394,7
New Customer Order,2013-02-05,1515.361446,12
New Customer Order,2013-02-06,704.6184739,8
New Customer Order,2013-02-07,2883.634538,15
New Customer Order,2013-02-08,1698.293173,18
New Customer Order,2013-02-09,1668.373494,11
New Customer Order,2013-02-10,1378.714859,10
New Customer Order,2013-02-11,589.3574297,5
New Customer Order,2013-02-12,1113.253012,8
New Customer Order,2013-02-13,2034.036145,13
New Customer Order,2013-02-14,1792.269076,14
New Customer Order,2013-02-15,613.3534137,6
New Customer Order,2013-02-16,587.248996,5
New Customer Order,2013-02-17,4963.453815,15
New Customer Order,2013-02-18,2095.180723,9
New Customer Order,2013-02-19,2730.120482,9
New Customer Order,2013-02-20,1103.212851,7
New Customer Order,2013-02-21,1589.457831,13
New Customer Order,2013-02-22,825.3012048,5
New Customer Order,2013-02-23,944.2771084,9
New Customer Order,2013-02-24,3784.939759,12
New Customer Order,2013-02-25,1511.345382,12
New Customer Order,2013-02-26,2613.274208,15
New Customer Order,2013-02-27,1019.907407,8
New Customer Order,2013-02-28,1374.259259,10
New Customer Order,2013-03-01,3073.981481,24
New Customer Order,2013-03-02,1308.333333,11
New Customer Order,2013-03-03,2168.796296,16
New Customer Order,2013-03-04,1495,7
New Customer Order,2013-03-05,2263.518519,15
New Customer Order,2013-03-06,695.6481481,3
New Customer Order,2013-03-07,973.1481481,8
New Customer Order,2013-03-08,1677.777778,15
New Customer Order,2013-03-09,1817.314815,10
New Customer Order,2013-03-10,2268.888889,16
New Customer Order,2013-03-11,1012.777778,6
New Customer Order,2013-03-12,2840.740741,17
New Customer Order,2013-03-13,1110.462963,7
New Customer Order,2013-03-14,2874.166667,13
New Customer Order,2013-03-15,3256.490741,16
New Customer Order,2013-03-16,671.4814815,6
New Customer Order,2013-03-17,2703.055556,15
New Customer Order,2013-03-18,2094.907407,14
New Customer Order,2013-03-19,3768.888889,23
New Customer Order,2013-03-20,1542.962963,7
New Customer Order,2013-03-21,2849.814815,20
New Customer Order,2013-03-22,522.4074074,6
New Customer Order,2013-03-23,2500.740741,6
New Customer Order,2013-03-24,2797.12963,11
New Customer Order,2013-03-25,3708.703704,8
New Customer Order,2013-03-26,1851.666667,16
New Customer Order,2013-03-27,591.6666667,3
New Customer Order,2013-03-28,2242.962963,15
New Customer Order,2013-03-29,594.9074074,2
New Customer Order,2013-03-30,1443.055556,8
New Customer Order,2013-03-31,1139.074074,8
New Customer Order,2013-04-01,1421.481481,10
New Customer Order,2013-04-02,1574.351852,8
New Customer Order,2013-04-03,1172.962963,11
New Customer Order,2013-04-04,1430.185185,9
New Customer Order,2013-04-05,1136.851852,8
New Customer Order,2013-04-06,1636.481481,7
New Customer Order,2013-04-07,3789.814815,20
New Customer Order,2013-04-08,1131.759259,8
New Customer Order,2013-04-09,1341.296296,12
New Customer Order,2013-04-10,1521.398148,10
New Customer Order,2013-04-11,3251.388889,17
New Customer Order,2013-04-12,1620.277778,11
New Customer Order,2013-04-13,2121.666667,10
New Customer Order,2013-04-14,2843.703704,15
New Customer Order,2013-04-15,2438.857678,10
New Customer Order,2013-04-16,3155.243446,16
New Customer Order,2013-04-17,824.7191011,6
New Customer Order,2013-04-18,2940.636704,17
New Customer Order,2013-04-19,1923.033708,15
New Customer Order,2013-04-20,1949.438202,12
New Customer Order,2013-04-21,5499.344569,32
New Customer Order,2013-04-22,2126.872659,12
New Customer Order,2013-04-23,3680.05618,23
New Customer Order,2013-04-24,4345.411985,16
New Customer Order,2013-04-25,4154.962547,26
New Customer Order,2013-04-26,3146.348315,14
New Customer Order,2013-04-27,3323.689139,13
New Customer Order,2013-04-28,3994.94382,31
New Customer Order,2013-04-29,3597.097378,20
New Customer Order,2013-04-30,5046.254682,31
New Customer Order,2013-05-01,3237.453184,23
New Customer Order,2013-05-02,3641.479401,28
New Customer Order,2013-05-03,2610.018727,18
New Customer Order,2013-05-04,743.3520599,6
New Customer Order,2013-05-05,4806.835206,23
New Customer Order,2013-05-06,3308.801498,19
New Customer Order,2013-05-07,1515.82397,13
New Customer Order,2013-05-08,1790.82397,18
New Customer Order,2013-05-09,2377.996255,11
